name,category,price_tier,neighborhood,open_start,open_end,average_rating,good_for_kids,customer_review
eleifend quam,Indian,Expensive,Long Island City,17:41:56.000,15:28:14.000,2.6,0,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius."
at,Greek,Expensive,Staten Island,12:04:54.000,11:15:48.000,1.4,1,
in,French,Expensive,Lower East Side,17:03:06.000,20:40:49.000,2.5,0,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit."
faucibus,French,Expensive,Manhattan,16:02:19.000,17:26:56.000,1.9,0,
semper sapien,Greek,Expensive,Lower East Side,19:07:00.000,21:09:54.000,2.9,1,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
mi,Indian,Expensive,Park Slope,12:35:32.000,8:31:00.000,4.3,0,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
bibendum felis sed,Spanish,Expensive,Park Slope,16:24:46.000,10:04:14.000,1.8,0,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
primis in,Italian,Cheap,Chelsea,13:43:55.000,8:55:59.000,4.7,1,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet."
vehicula consequat,American,Cheap,Downtown,16:32:04.000,16:14:47.000,1.5,0,
nulla elit,Japanese,Cheap,Queens,11:03:28.000,8:55:43.000,4.9,1,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus."
duis at,Mexican,Medium,Chelsea,12:39:52.000,13:55:45.000,3.3,0,
amet,Thai,Expensive,Bronx,11:07:36.000,11:30:36.000,4.5,0,
vitae quam suspendisse,Spanish,Expensive,Downtown,18:26:42.000,9:37:24.000,4.4,1,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
placerat ante nulla,Thai,Expensive,Upper East Side,15:05:00.000,15:46:16.000,3.0,0,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
ligula,Mexican,Medium,Midtown,15:07:44.000,22:30:56.000,1.2,1,
eu magna vulputate,Japanese,Cheap,Flushing,21:08:39.000,19:53:57.000,1.0,0,
rutrum,Spanish,Cheap,Long Island City,19:29:41.000,15:26:40.000,1.6,1,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
pellentesque,Chinese,Medium,Bronx,18:55:10.000,12:47:23.000,2.8,1,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque."
molestie,Italian,Medium,Downtown,17:14:58.000,12:02:16.000,3.9,0,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
quam a odio,American,Expensive,Upper West Side,12:29:58.000,9:08:49.000,1.8,1,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
fusce consequat nulla,American,Medium,Upper West Side,11:36:49.000,10:39:33.000,3.7,1,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
suscipit ligula,American,Cheap,Manhattan,11:24:21.000,16:42:22.000,1.9,1,
feugiat,Greek,Medium,Jackson Heights,19:12:00.000,12:08:08.000,3.5,1,
eros vestibulum,American,Medium,Park Slope,15:15:18.000,20:00:09.000,3.5,1,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat."
quis tortor id,Thai,Cheap,Lower East Side,18:16:34.000,8:26:51.000,1.0,1,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
accumsan felis,Italian,Medium,Park Slope,20:03:22.000,16:46:00.000,2.7,1,
convallis tortor,Indian,Cheap,Long Island City,16:00:46.000,12:01:54.000,3.2,1,
enim,Indian,Cheap,Chelsea,21:02:36.000,15:37:22.000,4.6,0,
rhoncus,Mexican,Expensive,Harlem,18:53:17.000,18:40:01.000,2.2,1,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui."
sollicitudin vitae,Italian,Cheap,Downtown,16:07:15.000,11:08:38.000,3.1,0,Phasellus in felis. Donec semper sapien a libero. Nam dui.
adipiscing,Thai,Cheap,Flushing,13:21:44.000,15:16:34.000,3.5,1,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
at,Thai,Expensive,Midtown,16:58:43.000,23:19:04.000,3.7,0,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
cursus,Indian,Medium,Williamsburg,18:54:57.000,18:10:27.000,3.9,0,
consectetuer adipiscing,Japanese,Cheap,Upper East Side,15:25:05.000,15:39:01.000,4.7,1,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
pede venenatis,Italian,Expensive,Jackson Heights,20:57:00.000,14:51:40.000,1.0,0,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris."
nulla,Mexican,Medium,East Village,21:30:36.000,16:54:05.000,3.0,1,Sed ante. Vivamus tortor. Duis mattis egestas metus.
sed,Indian,Expensive,Brooklyn,14:31:50.000,15:00:37.000,2.8,1,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
nulla facilisi cras,Chinese,Cheap,Long Island City,15:18:35.000,12:31:12.000,1.4,1,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh."
quisque arcu libero,American,Expensive,Flushing,15:53:42.000,22:02:04.000,4.4,1,
suspendisse,Greek,Medium,Queens,18:46:19.000,8:32:54.000,4.7,1,
leo rhoncus,Thai,Expensive,Midtown,19:43:03.000,8:21:57.000,1.8,1,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
amet nulla,Indian,Cheap,Queens,13:57:35.000,22:26:53.000,1.3,0,"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius."
molestie nibh in,French,Medium,Midtown,20:11:21.000,15:57:45.000,1.7,1,
luctus nec,Japanese,Cheap,Park Slope,21:24:24.000,19:56:00.000,4.6,0,Sed ante. Vivamus tortor. Duis mattis egestas metus.
scelerisque quam turpis,Greek,Medium,Greenwich Village,11:53:29.000,11:52:46.000,2.3,1,
cum sociis,Italian,Medium,Downtown,21:32:07.000,13:01:41.000,3.1,0,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
rutrum at lorem,American,Cheap,Upper West Side,14:20:38.000,12:32:33.000,2.7,0,
morbi quis tortor,Greek,Medium,Chelsea,16:10:38.000,8:15:22.000,1.4,1,
dapibus nulla,Greek,Cheap,Chelsea,13:31:20.000,14:13:13.000,1.2,1,
orci luctus et,Mexican,Medium,Park Slope,21:27:46.000,18:51:18.000,3.2,1,
augue aliquam erat,Chinese,Expensive,East Village,11:03:57.000,17:30:38.000,2.8,1,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
curabitur at,Thai,Medium,Manhattan,19:54:41.000,12:47:36.000,4.3,0,In congue. Etiam justo. Etiam pretium iaculis justo.
libero nullam,Indian,Medium,Greenwich Village,14:39:10.000,23:58:48.000,4.3,1,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
neque,Italian,Expensive,Midtown,14:00:20.000,16:29:18.000,1.5,0,
ultrices,Italian,Medium,Midtown,19:17:44.000,13:45:13.000,4.6,1,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
vel enim sit,Chinese,Expensive,East Village,11:49:17.000,21:16:37.000,1.7,0,"In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi."
sed tristique in,Chinese,Cheap,Park Slope,13:57:29.000,11:40:02.000,3.0,0,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
vitae nisi nam,Greek,Medium,Chelsea,15:42:25.000,12:19:37.000,3.6,1,
leo,Thai,Expensive,East Village,16:30:24.000,17:40:06.000,4.8,0,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
ridiculus mus vivamus,Japanese,Cheap,Staten Island,21:07:40.000,14:13:07.000,2.4,0,
risus praesent,Thai,Medium,Lower East Side,16:03:06.000,22:14:53.000,2.2,0,"Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
risus auctor,Mexican,Cheap,Astoria,21:12:40.000,21:20:29.000,1.6,1,
pede ac,Indian,Cheap,Flushing,18:24:34.000,16:09:12.000,3.6,0,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
odio condimentum,Mexican,Medium,Staten Island,19:47:23.000,21:49:16.000,2.3,1,
pharetra magna ac,Mexican,Medium,Upper West Side,12:13:09.000,9:31:54.000,2.8,0,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat."
justo aliquam,Chinese,Medium,Lower East Side,12:21:41.000,8:36:17.000,2.2,0,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
in,Indian,Expensive,Queens,20:30:57.000,8:45:34.000,1.8,1,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
sed tristique in,Italian,Medium,Jackson Heights,15:48:35.000,13:24:02.000,1.1,0,
dolor sit amet,Mexican,Medium,Midtown,19:38:22.000,10:29:49.000,2.7,0,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui."
vulputate luctus cum,Chinese,Expensive,Jackson Heights,20:35:36.000,19:48:28.000,3.7,1,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
nulla nunc purus,American,Expensive,Harlem,13:31:15.000,10:47:08.000,2.5,0,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui."
pellentesque volutpat dui,Mexican,Expensive,Upper East Side,17:11:29.000,13:29:18.000,4.9,1,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
praesent blandit nam,Greek,Cheap,Brooklyn,20:59:01.000,12:05:31.000,3.4,1,
sit,Greek,Medium,Flushing,15:10:06.000,12:42:49.000,4.0,1,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst."
nulla tempus,American,Cheap,Flushing,18:48:01.000,8:59:10.000,3.9,1,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
elementum,French,Expensive,Long Island City,20:47:11.000,9:22:04.000,4.5,1,
odio,Greek,Medium,Lower East Side,17:18:38.000,22:43:56.000,3.6,1,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
bibendum morbi,Indian,Expensive,Jackson Heights,12:56:43.000,10:07:35.000,3.8,0,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
tristique tortor,Thai,Cheap,Brooklyn,19:21:43.000,13:56:51.000,2.4,1,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh."
aenean sit,Thai,Medium,Greenwich Village,12:51:17.000,21:41:58.000,2.7,1,
